Year,USD/EUR_vol,GBP/USD_vol,JPY/USD_vol,USD/CHF_vol
2010,0.11945654396265439,0.08464482136052366,0.06198502919867244,0.10606168419539165
2011,0.05907665382808199,0.05016115161835021,0.042471305110475754,0.09448242709239169
2012,0.06111546660617473,0.04413249477694139,0.05317534665386845,0.05668459765897691
2013,0.05196835601527985,0.05441054356471527,0.07751129417249045,0.060710845855642126
2014,0.028839222014581844,0.02229294740286906,0.05649382758286755,0.03377903511552963
2015,0.0807001336901982,0.05136452557721933,0.05762407824747476,0.0840169484878651
2016,0.045701098512598265,0.09695922539629594,0.05544717499829236,0.04768027901646152
2017,0.038146753932278184,0.05412159403666331,0.0726589823845154,0.03569793258857009
2018,0.04693672965758113,0.05231948546415538,0.036119700674440904,0.06035027136351157
2019,0.01933401593769195,0.0382821837514368,0.043984515038612226,0.032868924431835304
2020,0.046701370607239924,0.06182091026675529,0.020892287959380067,0.03998320196907091
2021,0.03859108436265214,0.027010829223581865,0.03529675494923815,0.04595195872657671
2022,0.054666240809289036,0.07338130612561627,0.08358097192488377,0.05186815525527805
2023,0.057154360082321665,0.057660776811358914,0.06307219588557285,0.05985831216089116
2024,0.036731284729817994,0.03711265938229214,0.09224359797116488,0.05363366314413182
2025,0.056358760462508116,0.04891367845869266,0.06329038141620032,0.06525755023410558
